tweet_id,customer_text,intent,rationale,reviewed
1879079,Hi @SpotifyCares. Wht shld i do if forgot my password and at the same time i also forgot which email adress i used and i unable to reset it,account_access,"Customer forgot password and email, unable to reset credentials to access account.",no
1445703,Why I can't listen some songs on spotify that I can before???@SpotifyCares,product_service_issue,"Previously available songs are no longer playable, indicating a service or content availability issue.",no
360351,"@SpotifyCares It connected later on. It's just that the error wasn't clearly visible to me. So, I think/hope the user interface can be improved there. 😉",complaint_feedback,User gives feedback and suggests improvements for the UI error visibility.,no
1074777,@SpotifyCares No error messages.,product_service_issue,Follow-up message clarifying that no error messages appeared during an ongoing issue.,no
206557,@SpotifyCares Thank you!,other,Social pleasantry ('Thank you!') that does not fit supported operational intents.,no
2879067,@115888 you should honestly thinking about releasing an official version in India.,complaint_feedback,Expresses feedback/suggestion regarding releasing an official app version in India.,no
664584,@SpotifyCares Forgot to attach the screenshot https://t.co/v4p4BVt2SH,other,"Contextual message providing an attachment without a standalone, resolvable transaction request.",no
751836,"Hi spotify, Beyond was a great rock band from Hong Kong that had inspire generations. Can you plz complete its info, thanks! @SpotifyCares",complaint_feedback,Requests catalog info updates and gives feedback about missing band information.,no
2183058,"@SpotifyCares I get that it’s a great showcase for new music and labels want their tracks on it, however, it would be great to still keep the mix of old, or give us another discover playlist for older/classic (not brand new) tracks. Happy with either option",complaint_feedback,Provides feature feedback regarding playlist curation and mixing older/newer tracks.,no
935753,@SpotifyCares unfortunately that’s the remix of the *Nick Jonas song... not the original :( Maybe Apple Music has it @115948,product_service_issue,Reports incorrect track version (remix instead of original) playing on the platform.,no
293452,@115888 Can I expect a feature to turn a Queue into a playlist for Christmas this year? #GirlCanDream,information_request,Inquires about the potential availability of a feature without reporting a live failure.,no
190088,"@SpotifyCares hi, I just want to double check that I put my address in correctly for the family plan. Is there some way to check that?",information_request,Asks how to verify account address details for a family plan.,no
2728367,"@SpotifyCares Can I/Spotify change it with more readable username? Hopefully i can change it,
By the way my name is Daeng not Deang (:",booking_order_change,Requests to modify/change the username on their account.,no
1736384,"@SpotifyCares @188 Now it’s very, very dull and boring (see attached) and there’s no disc image and no play button. It’s terrible! https://t.co/4ClqdWqh8r",complaint_feedback,Expresses strong dissatisfaction regarding the updated user interface design.,no
1863147,@SpotifyCares I can only listen to music if I’m on Wifi - how do I listen without downloading and through 4g?,information_request,Asks how cellular data streaming works without downloading songs.,no
1775559,@115888 needs to fix their damn shuffle feature. I've heard 5 Post Malone songs in a row on a playlist with 12+ other artists. TF?,product_service_issue,Reports a broken or malfunctioning shuffle feature on a playlist.,no
2246126,"@SpotifyCares I used the Inspect element in Chrome to look at the code for the form.  It loaded in the window pane on the left side.  When I closed the inspection tool, the form was still there.  I entered my information and all is well.  Weird.",complaint_feedback,Shares feedback and a technical workaround regarding a website rendering glitch.,no
2052607,"@SpotifyCares Having trouble to accept the Family Plan invitation, I put all the correct address &amp; it says there's a problem. HELP!",product_service_issue,Encountering an error failure when attempting to accept a Family Plan invitation.,no
189849,@115888 How do you access Hulu if you already have premium?,information_request,Asks how the Hulu access feature works with an existing Premium subscription.,no
1106819,@SpotifyCares Why did you go back to only showing the year a song or album was released instead of the full date in the new update?,information_request,Asks why a specific product design change occurred in a recent update.,no
