tweet_id,customer_text,draft_reply,retrieved_evidence,human_relevance,human_groundedness,human_safety,human_tone,human_actionability,human_verdict,human_reason,relevance,groundedness,safety,tone,actionability,verdict
189819,@SpotifyCares @160530 Hey Spotify. Do you have any love for the armed forces? How bout a nice deal,Thanks for reaching out. A support specialist will review this and help you as soon as possible.,"671402: @280183 Hey Scott! Right now, this offer's for new subscribers only. Stay tuned for more deals for existing Premium subscribers, though 🙂 /AY",2,2,5,4,2,fail,,,,,,,
2850068,"@792507 @792508 @SpotifyCares Sure will let you know. They're checking my account to see why this is.
I agree it's superweird",Thanks for reaching out. A support specialist will review this and help you as soon as possible.,375398: @205015 Great! We'll keep an eye out for your reply /JU,3,3,5,4,2,fail,,,,,,,
1426064,@SpotifyCares Let me know when those premium offers happen. For now I'll continue to work with your business model by making new accounts every time you have a promo.,Thanks for reaching out. A support specialist will review this and help you as soon as possible.,"704840: @288461 Hey Sabrina. We're sorry you feel that way. We currently don't have Podcasts on iPad, but we'll let the right team know it's something you'd like to see /QI",3,3,5,4,2,fail,,,,,,,
378729,"@SpotifyCares If you can't remove it, is there a way I could censor that ad or can you at least limit the number of times it plays?",Thanks for reaching out. A support specialist will review this and help you as soon as possible.,"2071563: @612657 Hey! We're afraid this isn't possible, but you can suggest it in our Community at https://t.co/rtDvYZOF32 &amp; get support from other users /NS",3,3,5,4,2,fail,,,,,,,
1244063,for some reason @2235 is not playing on @115888 .,Thanks for reaching out. A support specialist will review this and help you as soon as possible.,847177: @321347 Hey Robbie! Help's here. Can you let us know what's happening exactly? Are you getting any error messages? We'll see what we can suggest /KM,3,3,5,4,2,fail,,,,,,,
1000020,Hi how can I keep Christmas music off my discover weekly/release radar or block it completely @SpotifyCares,Thanks for reaching out. A support specialist will review this and help you as soon as possible.,"53133: @127973 Thanks for letting us know! Just to check, are you able to see your recommended music after the relaunch? /HR",2,2,5,4,2,fail,,,,,,,
1209315,@115888 I have an Xbox and you guys are blocking me from using my streaming subscription because it isn’t available in the BAHAMAS! WTF,Thanks for reaching out. A support specialist will review this and help you as soon as possible.,2986602: @823515 Hey there! We're launching in new countries as often as possible. Be sure to add your email at https://t.co/X8DVSX9QgM /GK,2,2,5,4,2,fail,,,,,,,
387711,@115888 why can't my starred playlist on my iPhone start from the date added?,Thanks for reaching out. A support specialist will review this and help you as soon as possible.,"1742924: @525730 2: over to your phone's Settings &gt; General &gt; About. As for your Spotify version, you can check it on your app's Settings &gt; About /AU",3,2,5,4,2,fail,,,,,,,
2926806,"@SpotifyCares Very bummed that I am limited to the number of playlists I can download to my phone. That's all I listen to on the wonderful Bose sound system in my car. I pay, why can't I play? #Spotify is cramping my style! I love my Spotify, stop playing hard to get!",Thanks for reaching out. A support specialist will review this and help you as soon as possible.,"2397299: @689952 Hi Courtney! Can you let us know the device, operating system, and Spotify version you're using? We'll see what we can suggest /GK",3,3,5,4,2,fail,,,,,,,
1146225,"@118266 dear you, aku mau upgrade lagi ke premium karena pulsaku sempat abis tapi ga dapat pinnya padahal sudah berkali2 coba. Gimana ya?",Thanks for reaching out. A support specialist will review this and help you as soon as possible.,"2320366: @672479 Hey! We can help out in English via Twitter, but we also have Indonesian support via email at https://t.co/ZgU70TbP8M /SV https://t.co/ldFdZRiNAt",2,2,5,4,2,fail,,,,,,,
2526445,"@115888 you still haven’t optimized your app for #iPhoneX , yet @115900 and @116450 two companies known for poor customer service have?! Makes no sense. Time to cancel... #getyouracttogether #spotify #fail",Thanks for reaching out. A support specialist will review this and help you as soon as possible.,"717620: @291831 Hi! Yes, don’t worry, we can help. What’s happening exactly? Can you let us know the device/OS you’re using? /DR",2,3,5,4,2,fail,,,,,,,
2867783,@117153 @SpotifyCares,Thanks for reaching out. A support specialist will review this and help you as soon as possible.,1355791: @436129 @117153 We're sorry you haven't heard from the team yet. We've just sent a DM your way. Let's carry on chatting there /CP,1,2,5,3,1,fail,,,,,,,
826541,"@SpotifyCares Your Windows Mobile app is still having issues, any word on getting the app updated?",Thanks for reaching out. A support specialist will review this and help you as soon as possible.,818312: @314912 We don't have any info to share right now. Show your support here to help make it happen: https://t.co/TGZFKt4dIg /RH,3,3,5,4,2,fail,,,,,,,
1346666,@SpotifyCares I'm already on the list. Can you please tell me when is expected (year) to do Spotify in Slovenia?,Thanks for reaching out. A support specialist will review this and help you as soon as possible.,"2095204: @618985 Hey Sarah. Can you tell us more about what's happening? What device, operating system, and Spotify version are you on? /AY",2,2,5,4,2,fail,,,,,,,
1029770,Furious with @117168 @hulu_support It's not letting me connect the accounts! https://t.co/2gUuvG67CL,Thanks for reaching out. A support specialist will review this and help you as soon as possible.,1197658: @401403 Hey there! Can you DM us your account's email address or username? We'll take a look /NS https://t.co/ldFdZRiNAt,3,3,5,4,2,fail,,,,,,,
1803997,"@SpotifyCares found in u t&amp;c , i accepted a prev 30 day trial there4 it only offer 30. u shuld make very clear in mail so not waste my time n energy. :(",Thanks for reaching out. A support specialist will review this and help you as soon as possible.,"1884633: @562327 Hi there, help's here! Can you fire over your account's email address via DM? We'll take a look backstage and see what we can suggest /NY https://t.co/ldFdZRiNAt",3,3,5,4,2,fail,,,,,,,
2826950,"@SpotifyCares Everytime i buy the special offer, .99/3 months it wont load.  I click buyy now, entered and agreeed to not living in quebec and then click get premnium.  I then procced to PayPal, it load, i click pay now and it send me back to the origianl get premnium plans.",Thanks for reaching out. A support specialist will review this and help you as soon as possible.,"552676: @248879 Hi there. We're sorry you feel that way. Currently, we’re not able to offer the intro offer in Quebec due to circumstances outside our control. We hope to be able to make it available in the future! Let us know if we can help with anything else. We're just a tweet away /LM",3,3,5,4,2,fail,,,,,,,
1553424,"@SpotifyCares may I know why I can't play this song, but I've already downloaded it. https://t.co/bfdflu11Si https://t.co/ALDPwF0sq2",Thanks for reaching out. A support specialist will review this and help you as soon as possible.,"2797348: @780515 Hi Ezekiel! Fingers crossed we'll be able to have it soon, but there's info about Spotify content here: https://t.co/0i8GpimuDa /DV",3,3,5,4,2,fail,,,,,,,
1708814,Yo @115888 your app for iPhone X is a little weird...love the app tho,Thanks for reaching out. A support specialist will review this and help you as soon as possible.,"1672384: @509000 Hey James, we appreciate your feedback! Don't worry, we'll let our devs know this is something you'd like to see /GK",2,3,5,4,2,fail,,,,,,,
531769,"@SpotifyCares This guy named Young Summit re-posted @23568's song ""Right Now"" and changed it to ""Summit World"". 

Josh A's song was made in 2015 and the re-post was on November 10th of this year.

Please fix this. https://t.co/iIxfY4JV6g",Thanks for reaching out. A support specialist will review this and help you as soon as possible.,"990806: @354701 The Party category should still be there. Just to check, aren't you seeing it if you go to Browse &gt; Genres &amp; Moods? /NS",2,2,5,4,2,fail,,,,,,,
1021325,@125633 How do I add images to Bio,Thanks for reaching out. A support specialist will review this and help you as soon as possible.,"2080074: @413759 Hey there! We're afraid your related artists can’t be manually controlled, We have more info at https://t.co/EH3hl9mfQF. Hope this helps /JP",2,2,5,4,2,fail,,,,,,,
