tweet_id,customer_text,agent_reply,sampling_bucket,intent,route,route_reason,reply_grounded,notes,annotation_source
2776172,@SpotifyCares I claimed my artist image but when I log in I’m on a page I started before I knew about my artist page. How do I get into my artist page?,"@775710 Hi Darrell! Just to check, have you already requested access to your artist profile at https://t.co/obFLZ92rF4? If so, can you send us the email address you've used? /GT",,account_access,escalate,Account and artist-profile access requires private specialist help.,yes,Human-approved label.,human_reviewed
1801240,@SpotifyCares I moved country and I can’t login to my account anymore. Says I can only use Spotify abroad for 14 days?! Since when?,@541233 Hey there! Can you DM us your account's email address? We'll check things backstage and see what we can suggest /RI https://t.co/ldFdZRiNAt,,account_access,escalate,Account access and travel restriction require private specialist help.,yes,Human-approved label.,human_reviewed
581523,"@SpotifyCares Hello ! It's possible to migrate all account (subscription, followings/followers and all playlists) to another account ? I want to change the username of my account :)",@257042 Hey there! Could you DM us your account's email address or username? We'll see what we can suggest 🙂 /JA https://t.co/ldFdZRiNAt,,account_access,escalate,Account migration and username changes require private specialist help.,partly,Human-approved label.,human_reviewed
79450,@115888 it's not letting me log in using facebook so I'm paying for spotify i can't use please help,@133631 Hey there! Could you DM us your account's email address? We'll take a look backstage /JO https://t.co/ldFdZRiNAt,,account_access,escalate,Login failure with a paid account requires private specialist help.,yes,Human-approved label.,human_reviewed
1269780,@SpotifyCares Hey I can't access my account since you tested out could you help me out?,@417303 We've just sent you a DM 🙂 /DR,,account_access,escalate,Unclear account-access issue requires specialist follow-up.,partly,Human-approved label.,human_reviewed
581521,"@115888 my account has been hacked, what should I do? sent an email and also FB chat but no one is responding",@257041 Hey Paul! We've just sent a DM your way. Let's carry on chatting there /JA,,account_access,escalate,A hacked account requires private specialist help.,partly,Human-approved label.,human_reviewed
1694999,Maintenance? We can't login. 🙁 @115888,"@514269 Hey! Don't worry, we're on it. Our developers are looking into this, and we'll keep everyone updated /DF",,account_access,escalate,Login is unavailable and requires specialist follow-up.,yes,Human-approved label.,human_reviewed
2667479,"@SpotifyCares I already visited that page but I couldn't find anything for an email address that has been changed, just passwords changes :( is there a specific section I should be looking in?",@751446 Our Accounts team should be able to help out. You can reach them by heading to our contact form under step 2 &gt; Logging in &gt; I can't log in to Spotify &gt; I Still Need Help /RE,,account_access,escalate,Changed account email requires private specialist help.,yes,Human-approved label.,human_reviewed
6526,"@117153 @SpotifyCares @spotifyCares I’m currently having trouble with my account, I’ve tried to pay and it’s not being accepted. Can you please help out?",@542910 Hi there! Help's here. Can you DM us your account's username or email address? We'll check things backstage /MU https://t.co/ldFdZRiNAt,,billing_payment,escalate,Payment was rejected and requires private specialist help.,partly,Human-approved label.,human_reviewed
2394577,@115888 someone has hacked my account and replaced my albums with Mexican stuff I've never heard of. Help quickly please! I have 10 years of playlists on here https://t.co/IU49dI1CPO,@689356 Hey Ben! We’re sorry to hear that. Check out https://t.co/QHn3ok8y2n for what to do next. Let us know how it goes /HC,,account_access,escalate,A hacked account requires private specialist help.,yes,Human-approved label.,human_reviewed
