tweet_id,customer_text,intent,annotation_source
388994,@SpotifyCares Tried all that. Not working. The App is working fine after I turned off the hardware enhanced option.,product_service_issue,ai_assisted_heuristic
2458077,@SpotifyCares Hey! Love the Touch Bar you guys did for Macbooks. 1 feature request though: Could we get song/artist inside the progress bar?,complaint_feedback,ai_assisted_heuristic
376119,@83221 @115888 tell me what u want me to do and I'll do it! I'll carve my heart out of my chest if u want! just give us the soundtracks https://t.co/4tDeaZvjhv,other,ai_assisted_heuristic
388998,"@SpotifyCares Cleared cookies and cache, still not playing.",other,ai_assisted_heuristic
1382280,"@SpotifyCares HELP! my account was charged for premium yet my account info says I'm a free subscriber, I want to stay a premium subscriber",account_access,ai_assisted_heuristic
968035,"No, really @115888 I’m absolutely delighted that you’ve un-downloaded all of my music. AGAIN. It fills the days nicely getting it back. 💩💩💩",other,ai_assisted_heuristic
567991,"@SpotifyCares Latest version of Spotify. When the updates come in, that message pops up. I'm using Windows 7.",other,ai_assisted_heuristic
1828812,"@SpotifyCares Hey guys, any idea why I've been charged 2x£10 when my old account was supposed to be cancelled and my new one is a student?",account_access,ai_assisted_heuristic
1859940,So @115888 @SpotifyCares   really hasn't fix this glitch 😒 Fifth Harmony losing Streams D*mmit https://t.co/qCoL0uZURu,other,ai_assisted_heuristic
207208,@SpotifyCares It’s was after an iOS update,other,ai_assisted_heuristic
2225736,@115888 I NEED REPUTATION NOWWWWWWWW. #lol,other,ai_assisted_heuristic
1690745,"@SpotifyCares okay, i found this: https://t.co/0SFg8VJpBC

looks like there's not going to be one...equalizers are a standard of music players though.",other,ai_assisted_heuristic
557265,@SpotifyCares I made a student premium membership but it is not active even though it was charged.,billing_payment,ai_assisted_heuristic
1131952,@SpotifyCares The android version is 7.0,other,ai_assisted_heuristic
1963830,Ay why can’t I sign into spotify this the 2nd time im stuck on this screen not letting me click log in or create account 😤 @SpotifyCares https://t.co/Xo1yMDYTOD,account_access,ai_assisted_heuristic
2520085,"so on the @117168 charts there's a song called ""the race"" by this kid named 22 savage and it's pretty much the exact same song by @97944
 
¯\_(ツ)_/¯",other,ai_assisted_heuristic
2158543,@SpotifyCares I see. Thank you!,other,ai_assisted_heuristic
2291965,"@147836 
Daniel. Your company's lack of action here needs explanation. Tell me, and all your customers, why Spotify has no explicit filter? 
#ProveSpotifyCares https://t.co/eyAOSqLZRM",booking_order_change,ai_assisted_heuristic
2048220,@SpotifyCares I'm a premium subscriber and my computer (web app) is stuck in shuffle mode! Heeeeeelp!! I can't play any song I click on.,billing_payment,ai_assisted_heuristic
1774183,It's as if my discover weekly knew I'd be making out with someone this week @SpotifyCares 💚,other,ai_assisted_heuristic
1918975,@SpotifyCares I have premium via my internet provider. I wanna switch to family without losing premium subscription. Is this possible?,billing_payment,ai_assisted_heuristic
959761,"@SpotifyCares if I purchase the premium family plan, can we pay upfront? Meaning, how do we avoid monthly charges to a credit card?",billing_payment,ai_assisted_heuristic
1974130,"@SpotifyCares No, mob app is fine. It wasn't any particular song, it was seemingly all songs. So here's a random URI spotify:track:18ZK9RiSZdZVTkzVFw0yin",other,ai_assisted_heuristic
820235,@SpotifyCares i’ve send you a PB,other,ai_assisted_heuristic
805711,@115888 why the fuck am I paying £10 a month to find out there’s a download limit pagans,other,ai_assisted_heuristic
1890132,@SpotifyCares The song is from 2009 babe if you don't have it now I doubt you will ever have it. (Cry),other,ai_assisted_heuristic
574254,@115888 @131098 Spotify to Chromecast randomly stops playing audio (on iPad/IOS and Android phone). Time bar still moving. Does not happen on other apps that can cast to Chromecast. Known problem? Real showstopper.,other,ai_assisted_heuristic
1356631,@spotifycares Hey! I just learned somebody else is using my spotify account. I changed my password but it didnt log the person off.,account_access,ai_assisted_heuristic
1809296,@SpotifyCares I wanna know what app this person using? Why the looks of spotify seems so different? Is there any other white themes or what? Thanks.,other,ai_assisted_heuristic
861386,@SpotifyCares Do you have to pay up front? So if we subscribe today is money taken out today??,booking_order_change,ai_assisted_heuristic
2061279,I just want to watch HD. Hello @115888 @SpotifyCares please make this available worldwide. https://t.co/hijvhXODwX,other,ai_assisted_heuristic
543140,@SpotifyCares Hi. It's ok. I cleared my browser's cache in privacy settings and it fixed it. Thanks!,other,ai_assisted_heuristic
1698028,"@115888 make a ""random playlist"" button",other,ai_assisted_heuristic
1470926,"@SpotifyCares This did work, thank you",other,ai_assisted_heuristic
